Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.214138042149401e+00	1.085068873087253e+03	1.702503814336499e+00	2.402237401533458e-16	1.297097852805306e-02	2.237898790010101e+03	7.826396668637830e+02	2.894122724062388e+03	-1.168272910020248e+00	1.035727927496560e+01	2.070526419063918e+00	6.720319993347157e+00
4.615484522354106e+00	1.092373636425900e+03	1.721983078548453e+00	2.391599610546035e-16	1.291284185527554e-02	2.238455052607450e+03	8.446804481019581e+02	2.956267994085208e+03	-1.162771651778998e+00	1.017483313184183e+01	2.070187655187441e+00	6.866415260120097e+00
5.016831002558812e+00	1.098225678513052e+03	1.739540115411931e+00	2.382601206367852e-16	1.302590318005376e-02	2.238814055005715e+03	9.082195763996749e+02	3.019863385315713e+03	-1.160945968435129e+00	1.058228086957599e+01	2.076027813821983e+00	6.983456101863123e+00
5.418177482763516e+00	1.102409256069001e+03	1.753500325417249e+00	2.373991126104317e-16	1.325526968841218e-02	2.239008852781348e+03	9.648540907132506e+02	3.076502226245905e+03	-1.157130489978980e+00	1.150863897679274e+01	2.077983775130317e+00	7.067127652982114e+00
5.819523962968221e+00	1.105912228051112e+03	1.766379436905183e+00	2.366446627761974e-16	1.350391578604901e-02	2.239154708388750e+03	1.022777424607403e+03	3.134419082052892e+03	-1.157063091164637e+00	1.262260178047746e+01	2.080549354483214e+00	7.141872366602037e+00
6.220870443172926e+00	1.107918318332964e+03	1.774445113742911e+00	2.361761005829195e-16	1.373227739508346e-02	2.239228105686479e+03	1.062629309712010e+03	3.174242737146315e+03	-1.156053583429179e+00	1.374719131274768e+01	2.080533199063620e+00	7.213526734288929e+00
6.622216923377631e+00	1.109302225342963e+03	1.780492938435731e+00	-3.385474212687755e-09	1.392270573708035e-02	2.239278456698853e+03	1.095198661828834e+03	3.206781567632336e+03	-1.156041199447984e+00	1.476968060529080e+01	2.080765711560862e+00	7.367946681343104e+00
7.023563403582336e+00	1.110517149213198e+03	1.786228943022371e+00	-3.381770448652729e-09	1.410834222053817e-02	2.239327558818405e+03	1.128642302512086e+03	3.240191493310100e+03	-1.155756985978644e+00	1.584905726223097e+01	2.080940897642664e+00	7.554485361429405e+00
7.424909883787041e+00	1.110640589288757e+03	1.786855643692322e+00	7.582955243290555e-09	1.412975580006601e-02	2.239332329824839e+03	1.132575426307562e+03	3.244120038897130e+03	-1.155675818372196e+00	1.598310837188871e+01	2.080955445286850e+00	7.608214263614877e+00
7.826256363991746e+00	1.110640589288757e+03	1.786855643692322e+00	7.582955243290555e-09	1.412975580006601e-02	2.239332329824839e+03	1.132575426307562e+03	3.244120038897130e+03	-1.155675818372196e+00	1.598310837188871e+01	2.080955445286850e+00	7.613700040834107e+00
